Order_ID,Order_Date,Customer_ID
ORD000001,2025-04-30,CUST00271
ORD000002,2025-10-24,CUST00355
ORD000003,2025-09-07,CUST00018
ORD000004,2024-08-17,CUST00517
ORD000005,2025-09-14,CUST00626
ORD000006,2025-12-30,CUST00564
ORD000007,2025-03-09,CUST00772
ORD000008,2024-12-23,CUST00941
ORD000009,2024-09-15,CUST00447
ORD000010,2025-04-22,CUST00619
ORD000011,2025-11-24,CUST01067
ORD000012,2025-09-30,CUST00814
ORD000013,2025-08-21,CUST00210
ORD000014,2024-01-08,CUST01048
ORD000015,2025-11-09,CUST00767
ORD000016,2025-07-28,CUST00579
ORD000017,2024-11-01,CUST00222
ORD000018,2025-05-08,CUST00131
ORD000019,2024-12-10,CUST00567
ORD000020,2025-10-17,CUST00666
ORD000021,2024-10-10,CUST00535
ORD000022,2025-11-02,CUST00612
ORD000023,2024-07-11,CUST00308
ORD000024,2025-06-13,CUST00493
ORD000025,2024-02-28,CUST00828
ORD000026,2025-11-07,CUST00655
ORD000027,2025-11-28,CUST00287
ORD000028,2024-01-27,CUST01019
ORD000029,2024-10-29,CUST00532
ORD000030,2025-03-04,CUST00829
ORD000031,2025-02-01,CUST00073
ORD000032,2025-08-20,CUST01172
ORD000033,2024-07-13,CUST00703
ORD000034,2025-12-31,CUST00456
ORD000035,2025-12-03,CUST01095
ORD000036,2025-10-15,CUST00975
ORD000037,2025-11-18,CUST00735
ORD000038,2025-06-03,CUST00615
ORD000039,2024-06-23,CUST01144
ORD000040,2024-07-04,CUST00602
ORD000041,2024-04-09,CUST00965
ORD000042,2024-05-11,CUST00530
ORD000043,2025-07-26,CUST00375
ORD000044,2025-11-27,CUST00688
ORD000045,2025-11-01,CUST00183
ORD000046,2024-08-15,CUST00728
ORD000047,2024-08-16,CUST00629
ORD000048,2025-03-06,CUST00679
ORD000049,2025-01-15,CUST00534
ORD000050,2025-08-22,CUST00603
ORD000051,2025-04-19,CUST00242
ORD000052,2025-04-26,CUST00110
ORD000053,2025-10-11,CUST01196
ORD000054,2025-08-17,CUST00146
ORD000055,2025-04-28,CUST00399
ORD000056,2025-05-27,CUST00246
ORD000057,2025-11-28,CUST00782
ORD000058,2025-06-26,CUST00612
ORD000059,2025-02-27,CUST00111
ORD000060,2024-06-03,CUST00282
ORD000061,2024-07-24,CUST00702
ORD000062,2025-02-23,CUST01167
ORD000063,2025-04-13,CUST00294
ORD000064,2024-11-19,CUST00370
ORD000065,2024-03-23,CUST00999
ORD000066,2024-12-06,CUST00363
ORD000067,2024-11-16,CUST00119
ORD000068,2024-01-05,CUST00926
ORD000069,2024-10-07,CUST00429
ORD000070,2024-06-21,CUST01181
ORD000071,2024-06-11,CUST01003
ORD000072,2024-03-31,CUST00266
ORD000073,2025-09-21,CUST00889
ORD000074,2025-10-10,CUST00880
ORD000075,2025-02-17,CUST00879
ORD000076,2025-05-03,CUST00786
ORD000077,2024-01-05,CUST00078
ORD000078,2025-06-30,CUST00409
ORD000079,2025-01-17,CUST00029
ORD000080,2024-11-25,CUST01088
ORD000081,2024-07-14,CUST00037
ORD000082,2025-11-23,CUST00009
ORD000083,2025-10-03,CUST00510
ORD000084,2024-08-19,CUST00706
